TimeUS,time_s,instance,lat_deg,lon_deg,alt_m,speed_mps,vz_mps,status,nsats,hdop,seg_m,cum_dist_m,gps_dt_s,east_m,north_m,up_m
78814644,28.000018,0,-35.3674793,149.165221,1133.47,48.845001220703125,-14.676000595092773,6,10,1.21,9.774101347672556,468.62234285705114,0.19993300000000147,-1.4906665016442844,-467.65959132717535,548.6028004366115
79014577,28.199951,0,-35.3675669,149.1652205,1136.23,48.64900207519531,-12.906000137329102,6,10,1.21,9.74078108313131,478.36312394018245,0.19993299999999792,-1.5361126560656828,-477.3805167528848,551.3620779798676
79214509,28.399883,0,-35.367654,149.1652199,1138.63,48.43300247192383,-11.182000160217285,6,10,1.21,9.685230915014722,488.04835485519715,0.19993200000000044,-1.590648088093289,-487.0459395811233,553.7613449064943
79414442,28.599816,0,-35.3677409,149.1652194,1140.7,48.20900344848633,-9.49000072479248,6,10,1.21,9.662945484158753,497.7113003393559,0.19993300000000147,-1.6360939531583085,-496.6891506164558,555.8305988771309
79614375,28.799749,0,-35.3678273,149.1652189,1142.43,47.98100280761719,-7.841000556945801,6,10,1.21,9.607348635891332,507.31864897524724,0.19993299999999792,-1.6815396717784807,-506.2768573600052,557.5598426404121
79814308,28.999682,0,-35.3679133,149.1652183,1143.84,47.75700378417969,-6.240000247955322,6,10,1.21,9.562918448965936,516.8815674242131,0.19993300000000147,-1.7360746365207405,-515.820156578252,558.9690755461761
80014241,29.199615,0,-35.367999,149.1652176,1144.92,47.54100036621094,-4.647000312805176,6,10,1.21,9.5296165920568,526.4111840162699,0.19993300000000147,-1.7996988092088628,-525.3301427052802,560.0482968758256
80214173,29.399547,0,-35.3680842,149.1652169,1145.7,47.33400344848633,-3.075000047683716,6,10,1.21,9.474020369246588,535.8852043855164,0.1999319999999969,-1.8633227955529748,-534.7846232985805,560.8275086481735
80414106,29.59948,0,-35.368169,149.1652159,1146.16,47.13900375366211,-1.5430001020431519,6,10,1.21,9.429765736843562,545.31497012236,0.19993300000000147,-1.9542146875479531,-544.1946920233647,561.2867101528819
80614039,29.799413,0,-35.3682535,149.165215,1146.31,46.95500183105469,-0.015000000596046448,6,10,1.21,9.396325681492154,554.7112958038522,0.19993300000000147,-2.036016950492872,-553.5714450456311,561.4359006322705
80813972,29.999346,0,-35.3683379,149.1652138,1146.16,46.781002044677734,1.496000051498413,6,10,1.21,9.385482552806314,564.0967783566585,0.19993299999999792,-2.1450870027916267,-562.9370753510822,561.2850782563423
81014904,30.200278,0,-35.368422,149.1652125,1145.71,46.62200164794922,2.9670002460479736,6,10,1.21,9.352236213511098,573.4490145701697,0.20093200000000166,-2.2632460675385744,-572.2693881443179,560.8342450759607
81214837,30.400211,0,-35.3685057,149.1652111,1144.97,46.47600173950195,4.430000305175781,6,10,1.21,9.307881038252027,582.7568956084217,0.19993299999999792,-2.3904941055481714,-581.557286291684,560.0934022552053
81414770,30.600144,0,-35.368589,149.1652096,1143.94,46.34400177001953,5.874000072479248,6,10,1.21,9.263535914656325,592.0204315230781,0.19993300000000147,-2.526831069771646,-590.8007685380768,559.0625499847856
81614703,30.800077,0,-35.3686722,149.1652078,1142.63,46.22900390625,7.277000427246094,6,10,1.21,9.252857464308937,601.273288987387,0.19993300000000147,-2.690435525169569,-600.0331247715316,557.7516853103259
81814635,31.000009,0,-35.3687551,149.1652059,1141.03,46.12800216674805,8.676000595092773,6,10,1.21,9.219669167203527,610.4929581545905,0.1999319999999969,-2.8631287563667485,-609.23215936678,556.1508104122968
82014568,31.199942,0,-35.3688379,149.1652039,1139.15,46.0420036315918,10.059000015258789,6,10,1.21,9.20872571431385,619.7016838689043,0.19993300000000147,-3.044910701265458,-618.4200655049236,554.2699232762931
82214501,31.399875,0,-35.3689205,149.1652017,1137.01,45.97700119018555,11.397000312805176,6,10,1.21,9.186866926417798,628.8885507953221,0.19993300000000147,-3.2448705918109795,-627.5857472421455,552.1290250394499
